1,1949/1/1,112
2,1949/2/1,118
3,1949/3/1,132
4,1949/4/1,129
5,1949/5/1,121
6,1949/6/1,135
7,1949/7/1,148
8,1949/8/1,148
9,1949/9/1,136
10,1949/10/1,119
11,1949/11/1,104
12,1949/12/1,118
13,1950/1/1,115
14,1950/2/1,126
15,1950/3/1,141
16,1950/4/1,135
17,1950/5/1,125
18,1950/6/1,149
19,1950/7/1,170
20,1950/8/1,170
21,1950/9/1,158
22,1950/10/1,133
23,1950/11/1,114
24,1950/12/1,140
25,1951/1/1,145
26,1951/2/1,150
27,1951/3/1,178
28,1951/4/1,163
29,1951/5/1,172
30,1951/6/1,178
31,1951/7/1,199
32,1951/8/1,199
33,1951/9/1,184
34,1951/10/1,162
35,1951/11/1,146
36,1951/12/1,166
37,1952/1/1,171
38,1952/2/1,180
39,1952/3/1,193
40,1952/4/1,181
41,1952/5/1,183
42,1952/6/1,218
43,1952/7/1,230
44,1952/8/1,242
45,1952/9/1,209
46,1952/10/1,191
47,1952/11/1,172
48,1952/12/1,194
49,1953/1/1,196
50,1953/2/1,196
51,1953/3/1,236
52,1953/4/1,235
53,1953/5/1,229
54,1953/6/1,243
55,1953/7/1,264
56,1953/8/1,272
57,1953/9/1,237
58,1953/10/1,211
59,1953/11/1,180
60,1953/12/1,201
61,1954/1/1,204
62,1954/2/1,188
63,1954/3/1,235
64,1954/4/1,227
65,1954/5/1,234
66,1954/6/1,264
67,1954/7/1,302
68,1954/8/1,293
69,1954/9/1,259
70,1954/10/1,229
71,1954/11/1,203
72,1954/12/1,229
73,1955/1/1,242
74,1955/2/1,233
75,1955/3/1,267
76,1955/4/1,269
77,1955/5/1,270
78,1955/6/1,315
79,1955/7/1,364
80,1955/8/1,347
81,1955/9/1,312
82,1955/10/1,274
83,1955/11/1,237
84,1955/12/1,278
85,1956/1/1,284
86,1956/2/1,277
87,1956/3/1,317
88,1956/4/1,313
89,1956/5/1,318
90,1956/6/1,374
91,1956/7/1,413
92,1956/8/1,405
93,1956/9/1,355
94,1956/10/1,306
95,1956/11/1,271
96,1956/12/1,306
97,1957/1/1,315
98,1957/2/1,301
99,1957/3/1,356
100,1957/4/1,348
101,1957/5/1,355
102,1957/6/1,422
103,1957/7/1,465
104,1957/8/1,467
105,1957/9/1,404
106,1957/10/1,347
107,1957/11/1,305
108,1957/12/1,336
109,1958/1/1,340
110,1958/2/1,318
111,1958/3/1,362
112,1958/4/1,348
113,1958/5/1,363
114,1958/6/1,435
115,1958/7/1,491
116,1958/8/1,505
117,1958/9/1,404
118,1958/10/1,359
119,1958/11/1,310
120,1958/12/1,337
121,1959/1/1,360
122,1959/2/1,342
123,1959/3/1,406
124,1959/4/1,396
125,1959/5/1,420
126,1959/6/1,472
127,1959/7/1,548
128,1959/8/1,559
129,1959/9/1,463
130,1959/10/1,407
131,1959/11/1,362
132,1959/12/1,405
133,1960/1/1,417
134,1960/2/1,391
135,1960/3/1,419
136,1960/4/1,461
137,1960/5/1,472
138,1960/6/1,535
139,1960/7/1,622
140,1960/8/1,606
141,1960/9/1,508
142,1960/10/1,461
143,1960/11/1,390
144,1960/12/1,432
